unit,site,patch_num,flr_id,flr_strp,trmt,seeds_mean,spk_count,spk_wt,spk_flr,mean_flr_dns_m2,germ_rate,seed_flr,prop_prsr_m2,yrs_spraying,phrag_marsh,prop_prsr_marsh
WFU,WFU,3,WFU3.3,0.303,Low,4.7,60,0.054,336.67,,,1582.3,77217.8667,0,0.14440057,11150.3037
WFU,WFU,3,WFU3.4,0.334,Low,3.7,60,0.043,466.05,,,1724.4,84149.3581,0,0.14440057,12151.215
WFU,WFU,3,WFU3.5,0.669,Low,5.3,60,0.056,716.79,,,3799,185389.457,0,0.14440057,26770.3426
WFU,WFU,4,WFU4.1,0.749,Low,4,60,0.049,917.14,20.8,3.86873921,3668.6,76306.2857,0,0.14440057,11018.6709
WFU,WFU,4,WFU4.2,0.756,Low,5.3,60,0.076,596.84,,,3163.3,65795.8737,0,0.14440057,9500.96144
WFU,WFU,4,WFU4.3,0.296,Low,4.7,60,0.048,370,,,1739,36171.2,0,0.14440057,5223.14178
WFU,WFU,4,WFU4.4,0.389,Low,5,60,0.052,448.85,,,2244.2,46680,0,0.14440057,6740.61845
WFU,WFU,4,WFU4.5,0.557,Low,6,60,0.07,477.43,,,2864.6,59583.0857,0,0.14440057,8603.83134
WFU,WFU,5,WFU5.1,0.731,Low,5.7,60,0.053,827.55,59.2,0.11347518,4717,279247.517,0,0.14440057,40323.4997
WFU,WFU,5,WFU5.2,0.653,Low,7.3,60,0.051,768.24,,,5608.1,332000.565,0,0.14440057,47941.0697
WFU,WFU,5,WFU5.3,0.842,Low,6,60,0.05,1010.4,,,6062.4,358894.08,0,0.14440057,51824.5085
WFU,WFU,5,WFU5.4,0.487,Low,6,60,0.057,512.63,,,3075.8,182086.737,0,0.14440057,26293.428
WFU,WFU,5,WFU5.5,1.15,Low,5.3,60,0.058,1189.66,,,6305.2,373266.207,0,0.14440057,53899.8518
